Filename,Label,seg_Start,seg_End,t_ms,CPP,strF0,Column1
first_sample.mat,first_sample.mat,1,3000,1,0,243.882,
first_sample.mat,first_sample.mat,1,3000,2,0,239.662,
first_sample.mat,first_sample.mat,1,3000,3,0,235.62,
first_sample.mat,first_sample.mat,1,3000,4,0,231.287,
first_sample.mat,first_sample.mat,1,3000,5,0,225.347,
first_sample.mat,first_sample.mat,1,3000,6,0,218.939,
first_sample.mat,first_sample.mat,1,3000,7,0,217.073,
first_sample.mat,first_sample.mat,1,3000,8,0,216.019,
first_sample.mat,first_sample.mat,1,3000,9,0,215.44,
first_sample.mat,first_sample.mat,1,3000,10,0,215.777,
first_sample.mat,first_sample.mat,1,3000,11,0,215.731,
first_sample.mat,first_sample.mat,1,3000,12,26.272,215.371,
first_sample.mat,first_sample.mat,1,3000,13,27.921,215.576,
first_sample.mat,first_sample.mat,1,3000,14,26.448,215.993,
first_sample.mat,first_sample.mat,1,3000,15,28.335,216.35,
first_sample.mat,first_sample.mat,1,3000,16,28.519,220.13,
first_sample.mat,first_sample.mat,1,3000,17,25.794,222.085,
first_sample.mat,first_sample.mat,1,3000,18,27.197,223.581,
first_sample.mat,first_sample.mat,1,3000,19,27.317,223.75,
first_sample.mat,first_sample.mat,1,3000,20,28.781,222.445,
first_sample.mat,first_sample.mat,1,3000,21,29.18,221.294,
first_sample.mat,first_sample.mat,1,3000,22,30.814,219.958,
first_sample.mat,first_sample.mat,1,3000,23,30.02,219.913,
first_sample.mat,first_sample.mat,1,3000,24,29.481,220.406,
first_sample.mat,first_sample.mat,1,3000,25,27.128,218.016,
first_sample.mat,first_sample.mat,1,3000,26,24.226,217.884,
first_sample.mat,first_sample.mat,1,3000,27,29.085,218.092,
first_sample.mat,first_sample.mat,1,3000,28,28.832,218.616,
first_sample.mat,first_sample.mat,1,3000,29,30.05,218.117,
first_sample.mat,first_sample.mat,1,3000,30,31.292,218.381,
first_sample.mat,first_sample.mat,1,3000,31,28.376,219.755,
first_sample.mat,first_sample.mat,1,3000,32,28.232,200.417,
first_sample.mat,first_sample.mat,1,3000,33,25.47,201.658,
first_sample.mat,first_sample.mat,1,3000,34,27.678,202.213,
first_sample.mat,first_sample.mat,1,3000,35,28.301,200.61,
first_sample.mat,first_sample.mat,1,3000,36,28.461,198.578,
first_sample.mat,first_sample.mat,1,3000,37,25.947,196.421,
first_sample.mat,first_sample.mat,1,3000,38,26.732,196.108,
first_sample.mat,first_sample.mat,1,3000,39,27.434,195.587,
first_sample.mat,first_sample.mat,1,3000,40,28.242,194.773,
first_sample.mat,first_sample.mat,1,3000,41,28.528,200.005,
first_sample.mat,first_sample.mat,1,3000,42,26.661,197.143,
first_sample.mat,first_sample.mat,1,3000,43,24.59,197.705,
first_sample.mat,first_sample.mat,1,3000,44,26.245,197.878,
first_sample.mat,first_sample.mat,1,3000,45,27.472,199.36,
first_sample.mat,first_sample.mat,1,3000,46,26.971,201.516,
first_sample.mat,first_sample.mat,1,3000,47,26.124,203.423,
first_sample.mat,first_sample.mat,1,3000,48,25.903,204.768,
first_sample.mat,first_sample.mat,1,3000,49,26.061,206.846,
first_sample.mat,first_sample.mat,1,3000,50,25.797,220.596,
first_sample.mat,first_sample.mat,1,3000,51,26.861,223.767,
first_sample.mat,first_sample.mat,1,3000,52,26.87,218.612,
first_sample.mat,first_sample.mat,1,3000,53,27.991,222.354,
first_sample.mat,first_sample.mat,1,3000,54,25.866,222.449,
first_sample.mat,first_sample.mat,1,3000,55,27.026,221.246,
first_sample.mat,first_sample.mat,1,3000,56,27.311,219.293,
first_sample.mat,first_sample.mat,1,3000,57,28.063,217.145,
first_sample.mat,first_sample.mat,1,3000,58,27.818,213.481,
first_sample.mat,first_sample.mat,1,3000,59,29.196,213.343,
first_sample.mat,first_sample.mat,1,3000,60,27.534,212.47,
first_sample.mat,first_sample.mat,1,3000,61,27.484,217.385,
first_sample.mat,first_sample.mat,1,3000,62,26.077,215.671,
first_sample.mat,first_sample.mat,1,3000,63,27.31,216.433,
first_sample.mat,first_sample.mat,1,3000,64,26.108,217.06,
first_sample.mat,first_sample.mat,1,3000,65,26.42,217.484,
first_sample.mat,first_sample.mat,1,3000,66,28.519,219.747,
first_sample.mat,first_sample.mat,1,3000,67,25.794,221.779,
first_sample.mat,first_sample.mat,1,3000,68,27.197,223.18,
first_sample.mat,first_sample.mat,1,3000,69,27.317,222.968,
first_sample.mat,first_sample.mat,1,3000,70,28.781,221.75,
first_sample.mat,first_sample.mat,1,3000,71,30.098,220.215,
first_sample.mat,first_sample.mat,1,3000,72,29.03,218.871,
first_sample.mat,first_sample.mat,1,3000,73,31.871,218.377,
first_sample.mat,first_sample.mat,1,3000,74,27.615,218.84,
first_sample.mat,first_sample.mat,1,3000,75,27.128,218.098,
first_sample.mat,first_sample.mat,1,3000,76,24.226,217.897,
first_sample.mat,first_sample.mat,1,3000,77,29.085,218.098,
