Filename,Label,seg_Start,seg_End,t_ms,CPP,strF0,Column1
second_sample.mat,second_sample.mat,1,3000,100,7.564,206.008,
second_sample.mat,second_sample.mat,1,3000,101,7.785,205.906,
second_sample.mat,second_sample.mat,1,3000,102,7.341,205.991,
second_sample.mat,second_sample.mat,1,3000,103,8.366,206.023,
second_sample.mat,second_sample.mat,1,3000,104,8.474,206.127,
second_sample.mat,second_sample.mat,1,3000,105,7.384,206.171,
second_sample.mat,second_sample.mat,1,3000,106,7.799,206.078,
second_sample.mat,second_sample.mat,1,3000,107,7.082,206.134,
second_sample.mat,second_sample.mat,1,3000,108,7.741,206.036,
second_sample.mat,second_sample.mat,1,3000,109,7.267,206.065,
second_sample.mat,second_sample.mat,1,3000,110,8.075,206.051,
second_sample.mat,second_sample.mat,1,3000,111,7.323,206.1,
second_sample.mat,second_sample.mat,1,3000,112,8.245,206.138,
second_sample.mat,second_sample.mat,1,3000,113,8.315,206.205,
second_sample.mat,second_sample.mat,1,3000,114,7.969,206.204,
second_sample.mat,second_sample.mat,1,3000,115,7.864,206.135,
second_sample.mat,second_sample.mat,1,3000,116,10.213,206.094,
second_sample.mat,second_sample.mat,1,3000,117,8.021,206.05,
second_sample.mat,second_sample.mat,1,3000,118,7.384,206.062,
second_sample.mat,second_sample.mat,1,3000,119,8.337,206.034,
second_sample.mat,second_sample.mat,1,3000,120,8.22,206.127,
second_sample.mat,second_sample.mat,1,3000,121,7.28,206.073,
second_sample.mat,second_sample.mat,1,3000,122,8.022,206.167,
second_sample.mat,second_sample.mat,1,3000,123,7.287,206.124,
second_sample.mat,second_sample.mat,1,3000,124,7.707,206.02,
second_sample.mat,second_sample.mat,1,3000,125,7.571,205.989,
second_sample.mat,second_sample.mat,1,3000,126,7.806,205.903,
second_sample.mat,second_sample.mat,1,3000,127,7.472,206.007,
second_sample.mat,second_sample.mat,1,3000,128,8.704,205.981,
second_sample.mat,second_sample.mat,1,3000,129,8.321,206.1,
second_sample.mat,second_sample.mat,1,3000,130,7.383,206.135,
second_sample.mat,second_sample.mat,1,3000,131,7.706,206.181,
second_sample.mat,second_sample.mat,1,3000,132,7.277,206.238,
second_sample.mat,second_sample.mat,1,3000,133,7.272,206.199,
second_sample.mat,second_sample.mat,1,3000,134,7.273,206.259,
second_sample.mat,second_sample.mat,1,3000,135,8.04,206.316,
second_sample.mat,second_sample.mat,1,3000,136,7.304,206.366,
second_sample.mat,second_sample.mat,1,3000,137,8.207,206.407,
second_sample.mat,second_sample.mat,1,3000,138,8.322,206.485,
second_sample.mat,second_sample.mat,1,3000,139,7.684,206.466,
second_sample.mat,second_sample.mat,1,3000,140,7.85,206.472,
second_sample.mat,second_sample.mat,1,3000,141,10.081,206.401,
second_sample.mat,second_sample.mat,1,3000,142,7.986,206.377,
second_sample.mat,second_sample.mat,1,3000,143,7.558,206.294,
second_sample.mat,second_sample.mat,1,3000,144,8.393,206.24,
second_sample.mat,second_sample.mat,1,3000,145,8.234,206.328,
second_sample.mat,second_sample.mat,1,3000,146,7.286,206.257,
second_sample.mat,second_sample.mat,1,3000,147,8.022,206.297,
second_sample.mat,second_sample.mat,1,3000,148,7.298,206.29,
second_sample.mat,second_sample.mat,1,3000,149,7.34,206.249,
second_sample.mat,second_sample.mat,1,3000,150,7.564,206.211,
second_sample.mat,second_sample.mat,1,3000,151,7.785,206.162,
second_sample.mat,second_sample.mat,1,3000,152,7.341,206.211,
second_sample.mat,second_sample.mat,1,3000,153,8.366,206.249,
second_sample.mat,second_sample.mat,1,3000,154,8.474,206.29,
second_sample.mat,second_sample.mat,1,3000,155,7.384,206.297,
second_sample.mat,second_sample.mat,1,3000,156,7.799,206.257,
second_sample.mat,second_sample.mat,1,3000,157,7.082,206.328,
second_sample.mat,second_sample.mat,1,3000,158,7.741,206.24,
second_sample.mat,second_sample.mat,1,3000,159,7.267,206.294,
second_sample.mat,second_sample.mat,1,3000,160,8.075,206.377,
second_sample.mat,second_sample.mat,1,3000,161,7.323,206.401,
second_sample.mat,second_sample.mat,1,3000,162,8.245,206.472,
second_sample.mat,second_sample.mat,1,3000,163,8.315,206.466,
second_sample.mat,second_sample.mat,1,3000,164,7.969,206.485,
second_sample.mat,second_sample.mat,1,3000,165,7.864,206.407,
second_sample.mat,second_sample.mat,1,3000,166,10.213,206.366,
second_sample.mat,second_sample.mat,1,3000,167,8.021,206.316,
second_sample.mat,second_sample.mat,1,3000,168,7.384,206.259,
second_sample.mat,second_sample.mat,1,3000,169,8.337,206.199,
second_sample.mat,second_sample.mat,1,3000,170,8.22,206.238,
second_sample.mat,second_sample.mat,1,3000,171,7.28,206.181,
second_sample.mat,second_sample.mat,1,3000,172,8.022,206.135,
second_sample.mat,second_sample.mat,1,3000,173,7.287,206.1,
second_sample.mat,second_sample.mat,1,3000,174,7.707,205.981,
second_sample.mat,second_sample.mat,1,3000,175,7.571,206.007,
second_sample.mat,second_sample.mat,1,3000,176,7.806,205.903,
second_sample.mat,second_sample.mat,1,3000,177,7.472,205.989,
second_sample.mat,second_sample.mat,1,3000,178,8.704,206.02,
second_sample.mat,second_sample.mat,1,3000,179,8.321,206.124,
second_sample.mat,second_sample.mat,1,3000,180,7.383,206.167,
second_sample.mat,second_sample.mat,1,3000,181,7.706,206.073,
second_sample.mat,second_sample.mat,1,3000,182,7.277,206.127,
second_sample.mat,second_sample.mat,1,3000,183,7.272,206.034,
second_sample.mat,second_sample.mat,1,3000,184,7.273,206.062,
second_sample.mat,second_sample.mat,1,3000,185,8.04,206.05,
second_sample.mat,second_sample.mat,1,3000,186,7.304,206.094,
second_sample.mat,second_sample.mat,1,3000,187,8.207,206.135,
second_sample.mat,second_sample.mat,1,3000,188,8.322,206.204,
second_sample.mat,second_sample.mat,1,3000,189,7.684,206.205,
second_sample.mat,second_sample.mat,1,3000,190,7.85,206.138,
second_sample.mat,second_sample.mat,1,3000,191,10.081,206.1,
second_sample.mat,second_sample.mat,1,3000,192,7.986,206.051,
second_sample.mat,second_sample.mat,1,3000,193,7.558,206.065,
second_sample.mat,second_sample.mat,1,3000,194,8.393,206.036,
second_sample.mat,second_sample.mat,1,3000,195,8.234,206.134,
second_sample.mat,second_sample.mat,1,3000,196,7.286,206.078,
second_sample.mat,second_sample.mat,1,3000,197,8.022,206.171,
second_sample.mat,second_sample.mat,1,3000,198,7.298,206.127,
second_sample.mat,second_sample.mat,1,3000,199,7.34,206.023,
second_sample.mat,second_sample.mat,1,3000,200,7.564,205.991,
second_sample.mat,second_sample.mat,1,3000,201,7.785,205.906,
second_sample.mat,second_sample.mat,1,3000,202,7.341,206.008,
second_sample.mat,second_sample.mat,1,3000,203,8.366,205.982,
second_sample.mat,second_sample.mat,1,3000,204,8.474,206.101,
second_sample.mat,second_sample.mat,1,3000,205,7.384,206.138,
second_sample.mat,second_sample.mat,1,3000,206,7.799,206.183,
second_sample.mat,second_sample.mat,1,3000,207,7.082,206.242,
second_sample.mat,second_sample.mat,1,3000,208,7.741,206.198,
second_sample.mat,second_sample.mat,1,3000,209,7.267,206.258,
second_sample.mat,second_sample.mat,1,3000,210,8.075,206.314,
second_sample.mat,second_sample.mat,1,3000,211,7.323,206.371,
second_sample.mat,second_sample.mat,1,3000,212,8.245,206.406,
second_sample.mat,second_sample.mat,1,3000,213,8.315,206.483,
second_sample.mat,second_sample.mat,1,3000,214,7.969,206.462,
second_sample.mat,second_sample.mat,1,3000,215,7.864,206.468,
second_sample.mat,second_sample.mat,1,3000,216,10.213,206.393,
second_sample.mat,second_sample.mat,1,3000,217,8.021,206.374,
second_sample.mat,second_sample.mat,1,3000,218,7.384,206.29,
second_sample.mat,second_sample.mat,1,3000,219,8.337,206.236,
second_sample.mat,second_sample.mat,1,3000,220,8.22,206.319,
second_sample.mat,second_sample.mat,1,3000,221,7.28,206.251,
second_sample.mat,second_sample.mat,1,3000,222,8.022,206.292,
second_sample.mat,second_sample.mat,1,3000,223,7.287,206.286,
second_sample.mat,second_sample.mat,1,3000,224,7.707,206.245,
second_sample.mat,second_sample.mat,1,3000,225,7.571,206.208,
second_sample.mat,second_sample.mat,1,3000,226,7.806,206.156,
second_sample.mat,second_sample.mat,1,3000,227,7.472,206.208,
second_sample.mat,second_sample.mat,1,3000,228,8.704,206.245,
second_sample.mat,second_sample.mat,1,3000,229,8.321,206.286,
second_sample.mat,second_sample.mat,1,3000,230,7.383,206.292,
second_sample.mat,second_sample.mat,1,3000,231,7.706,206.251,
second_sample.mat,second_sample.mat,1,3000,232,7.277,206.319,
second_sample.mat,second_sample.mat,1,3000,233,7.272,206.236,
second_sample.mat,second_sample.mat,1,3000,234,7.273,206.29,
second_sample.mat,second_sample.mat,1,3000,235,8.04,206.374,
second_sample.mat,second_sample.mat,1,3000,236,7.304,206.393,
second_sample.mat,second_sample.mat,1,3000,237,8.207,206.468,
second_sample.mat,second_sample.mat,1,3000,238,8.322,206.462,
second_sample.mat,second_sample.mat,1,3000,239,7.684,206.483,
second_sample.mat,second_sample.mat,1,3000,240,7.85,206.406,
second_sample.mat,second_sample.mat,1,3000,241,10.081,206.371,
second_sample.mat,second_sample.mat,1,3000,242,7.986,206.314,
second_sample.mat,second_sample.mat,1,3000,243,7.558,206.258,
second_sample.mat,second_sample.mat,1,3000,244,8.393,206.198,
second_sample.mat,second_sample.mat,1,3000,245,8.234,206.242,
second_sample.mat,second_sample.mat,1,3000,246,7.286,206.183,
second_sample.mat,second_sample.mat,1,3000,247,8.022,206.138,
second_sample.mat,second_sample.mat,1,3000,248,7.298,206.101,
second_sample.mat,second_sample.mat,1,3000,249,7.34,205.982,
